,term,term_score,idf_score,REF_score,EPMC%coverage
0,bar charts,2120.8302753000007,6.156978985585555,0,0.25606
1,type ii errors,4249.437611200003,4.634728988229637,0,3.3731400000000002
2,cross-case analysis,192.08486100000007,7.2841348061952065,0,11.487
3,hypothesis,56056.28787989984,2.0794415416798357,187,28.273159999999997
4,critical theory,1025.8891625,5.82600010738045,27,3.7945
5,prediction,19304.152131700026,3.0445224377234235,396,11.2957
6,participatory action research,455.8232706999999,6.947937068614969,27,0.20815999999999998
7,one-way analysis of variance,5839.538012999994,3.9889840465642745,0,7.2694
8,measures of association,791.7579344999992,5.808142489980444,0,11.05666
9,effect size,48644.86463899991,3.0445224377234235,13,30.315920000000002
10,tape-recording,3869.4596727000026,4.430816798843313,1,0.40166
11,manifest variables,814.6825557000003,6.0330862217988015,0,0.72778
12,cooperative inquiry,136.23470309999996,7.965892735084528,0,0.0695
13,parametric models,412.81881430000016,7.152268856032539,5,1.84086
14,semiotics,765.7067746000001,6.9994224675079595,7,0.01656
15,population mean,396.46135610000016,6.579251212010101,3,23.39646
16,representative samples,4675.997958300004,4.174387269895637,7,10.941360000000001
17,emergent design,20.5068098,8.954673628956414,1,0.6409600000000001
18,rasch models,8451.976338600001,5.198497031265826,0,0.06566
19,intersubjectivity,2065.1697654000004,5.768320995793773,4,0.01906
20,scatterplots,1482.268188799998,5.575949103146316,0,0.20465999999999998
21,research synthesis,571.3352188999995,6.3613024775729965,11,25.035220000000002
22,logit and probit models,967.2131752999999,6.200509174042691,0,0.02588
23,marketing research,804.5613172000003,5.958424693029783,7,1.2233399999999999
24,"critical reading, writing and thinking",2689.3683762,4.9344739331306915,0,0.1024
25,agglomerative methods,39.56088019999999,8.83695515733143,0,0.0784
26,statistical tests,2750.0140292999968,4.787491742782046,5,16.6473
27,group dynamics,16381.546062500007,3.6375861597263857,8,5.797540000000001
28,methodological pluralism,188.14970769999988,7.357556200910352,2,0.0091
29,control groups,40243.899047100036,2.8332133440562166,11,39.14192
30,data management,1027.0577364000003,5.4510384535657,46,18.3467
31,reexpression,32.4942567,8.782783017393202,0,0.10026
32,teaching research methods,271.88474229999997,7.044905117129371,1,2.8786400000000003
33,prospective data,281.09160990000004,6.735780014242327,0,10.99896
34,coding scheme,2542.0363838000035,4.955827057601262,4,1.0893
35,career development,37674.34652229999,3.688879454113936,50,2.0112200000000002
36,practical skills,14119.890127099932,3.828641396489095,15,1.19624
37,professional communication,15489.426803599856,3.1354942159291497,2,2.2166799999999998
38,doing research,2193.7157823000025,4.787491742782046,9,5.12846
39,data collection skills,6.6343345000000005,10.341032554107702,0,1.66432
40,interval variables,528.4888313000001,6.3835066348840055,0,6.45186
41,emancipatory research,342.97511220000007,6.6385677891665225,0,0.0098
42,integrity,2679.2918931000017,5.159055299214528,209,9.564119999999999
43,ethical codes,2432.4884896999993,5.147494476813453,4,0.6554399999999999
44,evidence-based practice,5505.955344599992,4.852030263919617,67,11.18402
45,interval scales,1196.8716140999984,5.8998973535824915,0,1.5768
46,generalizability,8522.294413099962,3.970291913552122,4,1.7661799999999999
47,sampling error,2720.0964653000033,5.093750200806762,1,3.80324
